complexity,SNR,coverage rate,avg length,method,F1 score
"(8,2)",0.3,0.9230769230769231,8.612397495827839,MLE,0.2666666666666667
"(8,2)",0.3,0.9272727272727272,8.849424116257273,Data splitting,0.3076923076923077
"(8,2)",0.3,0.68,5.795508218341118,Naive,0.5714285714285715
"(8,2)",0.3,0.8727272727272727,5.605394570584679,MLE,0.3076923076923077
"(8,2)",0.3,0.95,8.527336478532968,Data splitting,0.2857142857142857
"(8,2)",0.3,0.76,3.269550103149303,Naive,0.5714285714285715
"(8,2)",0.3,0.85,4.903504223266822,MLE,0.4
"(8,2)",0.3,0.9090909090909091,6.423802150118275,Data splitting,0.3076923076923077
"(8,2)",0.3,0.64,3.6014070175884676,Naive,0.5714285714285715
"(8,2)",0.3,0.8333333333333334,8.902328279357654,MLE,0.2857142857142857
"(8,2)",0.3,0.9,9.254812931956142,Data splitting,0.2857142857142857
"(8,2)",0.3,0.8,5.632726671235239,Naive,0.5
"(8,2)",0.3,0.95,7.3336929029076625,MLE,0.2222222222222222
"(8,2)",0.3,0.82,6.45354473084946,Data splitting,0.33333333333333337
"(8,2)",0.3,0.8333333333333334,3.7074716005062727,Naive,0.5
"(8,2)",0.3,0.8923076923076924,7.094388594611613,MLE,0.2666666666666667
"(8,2)",0.3,0.9636363636363636,7.540438478227658,Data splitting,0.3076923076923077
"(8,2)",0.3,0.92,4.299792914682071,Naive,0.5714285714285715
"(8,2)",0.3,0.9375,8.782734724769552,MLE,0.2222222222222222
"(8,2)",0.3,0.9066666666666666,10.304197783515596,Data splitting,0.23529411764705882
"(8,2)",0.3,0.72,4.167223079568463,Naive,0.5714285714285715
"(8,2)",0.3,0.8909090909090909,6.81828275125799,MLE,0.16666666666666669
"(8,2)",0.3,0.94,6.926287947677597,Data splitting,0.33333333333333337
"(8,2)",0.3,0.7,3.996877668855468,Naive,0.33333333333333337
"(8,2)",0.3,0.9066666666666666,5.902849489813116,MLE,0.23529411764705882
"(8,2)",0.3,1.0,5.201271884154728,Data splitting,0.4444444444444445
"(8,2)",0.3,0.8,3.496295073001661,Naive,0.3636363636363636
"(8,2)",0.3,0.9529411764705882,8.360804768079625,MLE,0.21052631578947367
"(8,2)",0.3,0.9333333333333333,9.939334041961063,Data splitting,0.3636363636363636
"(8,2)",0.3,0.8,5.222224673819331,Naive,0.6666666666666666
"(8,2)",0.5,0.8666666666666667,5.733130966860642,MLE,0.3636363636363636
"(8,2)",0.5,0.8666666666666667,6.286542274062006,Data splitting,0.3636363636363636
"(8,2)",0.5,0.76,3.391626279331289,Naive,0.5714285714285715
"(8,2)",0.5,0.9636363636363636,6.946696397107956,MLE,0.3076923076923077
"(8,2)",0.5,0.98,8.022402641011618,Data splitting,0.33333333333333337
"(8,2)",0.5,0.8666666666666667,2.8500730895967594,Naive,0.8
"(8,2)",0.5,0.9466666666666667,7.010222935457561,MLE,0.23529411764705882
"(8,2)",0.5,0.85,5.945415296866807,Data splitting,0.4
"(8,2)",0.5,0.65,3.825454121318262,Naive,0.4
"(8,2)",0.5,0.9375,6.461523027788059,MLE,0.2222222222222222
"(8,2)",0.5,0.8909090909090909,5.270289233711751,Data splitting,0.3076923076923077
"(8,2)",0.5,0.7333333333333333,3.613446659599711,Naive,0.5
"(8,2)",0.5,0.9125,5.623938747422783,MLE,0.2222222222222222
"(8,2)",0.5,0.9,4.2935308827377945,Data splitting,0.6666666666666666
"(8,2)",0.5,0.8285714285714286,2.8620874971364554,Naive,0.4444444444444445
"(8,2)",0.5,0.875,5.135457971129496,MLE,0.2222222222222222
"(8,2)",0.5,0.8,4.940261470261113,Data splitting,0.4
"(8,2)",0.5,0.8,3.0689347979198764,Naive,0.5714285714285715
"(8,2)",0.5,0.8947368421052632,5.921009317084591,MLE,0.1904761904761905
"(8,2)",0.5,0.94,5.33246216842247,Data splitting,0.33333333333333337
"(8,2)",0.5,0.88,2.6373954319671005,Naive,0.5714285714285715
"(8,2)",0.5,0.9333333333333333,5.267825609898373,MLE,0.2857142857142857
"(8,2)",0.5,0.9777777777777777,6.380313461951942,Data splitting,0.3636363636363636
"(8,2)",0.5,0.88,2.9677220021573216,Naive,0.5714285714285715
"(8,2)",0.5,0.9166666666666666,4.881803528868451,MLE,0.2857142857142857
"(8,2)",0.5,0.88,4.85659670661674,Data splitting,0.5714285714285715
"(8,2)",0.5,0.7,2.96128289712213,Naive,0.6666666666666666
"(8,2)",0.5,0.82,5.753784801293906,MLE,0.33333333333333337
"(8,2)",0.5,0.9,6.461440407412371,Data splitting,0.25
"(8,2)",0.5,0.75,3.344412861137397,Naive,0.4
"(8,2)",0.5,0.85,5.362199238688505,MLE,0.2222222222222222
"(8,2)",0.5,0.825,5.520121619462382,Data splitting,0.4
"(8,2)",0.5,0.75,3.2061246206304235,Naive,0.6666666666666666
"(8,2)",0.5,0.9,5.2155985357066825,MLE,0.33333333333333337
"(8,2)",0.5,0.92,4.754068975058697,Data splitting,0.5714285714285715
"(8,2)",0.5,0.6666666666666666,2.1932743001963653,Naive,0.8
"(8,2)",0.5,0.9692307692307692,5.704422460883593,MLE,0.2666666666666667
"(8,2)",0.5,0.96,6.6166027115196595,Data splitting,0.33333333333333337
"(8,2)",0.5,0.8333333333333334,3.545300618257999,Naive,0.5
"(8,2)",0.5,0.9666666666666667,4.330224696674023,MLE,0.2857142857142857
"(8,2)",0.5,0.8444444444444444,5.0535162620749485,Data splitting,0.3636363636363636
"(8,2)",0.5,0.8,2.37428571045682,Naive,0.6666666666666666
"(8,2)",0.5,0.8,6.242828041056867,MLE,0.2666666666666667
"(8,2)",0.5,0.8153846153846154,6.53162650454475,Data splitting,0.2666666666666667
"(8,2)",0.5,0.8,3.401110000401784,Naive,0.6666666666666666
"(8,2)",0.5,0.8428571428571429,4.982853889496153,MLE,0.25
"(8,2)",0.5,0.96,3.7843588318592585,Data splitting,0.5714285714285715
"(8,2)",0.5,0.7666666666666667,2.533395877677944,Naive,0.5
"(8,2)",0.5,0.8153846153846154,4.727407877649215,MLE,0.2666666666666667
"(8,2)",0.5,0.9111111111111111,4.986373000089994,Data splitting,0.3636363636363636
"(8,2)",0.5,0.7333333333333333,3.04781654147343,Naive,0.5
"(8,2)",0.5,0.9142857142857143,6.40142831230422,MLE,0.25
"(8,2)",0.5,0.9333333333333333,7.806297960995177,Data splitting,0.3636363636363636
"(8,2)",0.5,0.8,3.1910460657735076,Naive,0.5
"(8,2)",0.5,0.8444444444444444,5.315201995803655,MLE,0.3636363636363636
"(8,2)",0.5,0.8,5.25699911711657,Data splitting,0.5
"(8,2)",0.5,0.8,3.312303005000119,Naive,0.5
"(8,2)",0.5,0.95,4.939982235913009,MLE,0.4
"(8,2)",0.5,0.9,6.39123938334499,Data splitting,0.33333333333333337
"(8,2)",0.5,0.7333333333333333,3.3628363973214306,Naive,0.8
